wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
11.61975,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,309.6572,668.1725,719.96025,766.311,1782.1225,1958.1725,0.367791698,0.457295489,0.414037538,0.362833509,0.468419028,0.385866357
12.0675,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,321.0125,715.4,752.7,782.025,1912.15,2003.375,0.340393386,0.437114976,0.386448427,0.330568446,0.448701337,0.352441181
11.06825,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,294.6564,607.5075,676.39175,746.457,1611.1575,1897.5075,0.404939452,0.481075718,0.450073013,0.408940945,0.489991386,0.432636286
11.344,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,302.1568,637.84,698.176,756.384,1696.64,1927.84,0.385695712,0.469150054,0.431506968,0.384889764,0.479267938,0.408271115
9.4355,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,219.517,394.873,470.325,551.8575,1036.1505,1368.136,0.486950139,0.504732599,0.505155235,0.488005677,0.508645741,0.50351317
12.04075,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,320.61125,713.26,751.63,781.2225,1907.335,2002.0375,0.34223879,0.438718475,0.388476756,0.33243505,0.450561095,0.354558508
12.71675,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,330.75125,767.34,778.67,801.5025,2029.015,2035.8375,0.299698235,0.400643508,0.3416226,0.289513728,0.406859242,0.306049046
12.375,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,325.625,740,765,791.25,1967.5,2018.75,0.32017927,0.419270947,0.364206224,0.310149283,0.428120916,0.329323891
11.4545,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,305.1624,649.995,706.9055,760.362,1730.895,1939.995,0.378367394,0.464387241,0.424379603,0.375824143,0.474930042,0.399069486
10.48225,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,270.6403,530.6215,610.941,692.74275,1399.98575,1746.0655,0.437864784,0.494675015,0.478583016,0.44678762,0.501241941,0.468676645
9.8065,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,239.551,441.619,525.975,613.0725,1158.9515,1528.408,0.473333216,0.502810484,0.503204545,0.482905798,0.506769527,0.501041299
11.043,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,293.9696,604.73,674.397,745.548,1603.33,1894.73,0.406773167,0.482168651,0.451830937,0.411251102,0.490963301,0.434973136
8.061,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,141.538,244.222,291.381,344.784,642.226,837.265,0.503520762,0.500629794,0.501898638,0.48895965,0.50560161,0.494165582
7.31075,7,8,92,156,191,228,400,532,138,238,284,336,626,815,106.2945,181.4815,219.89975,261.561,470.2295,619.94225,0.506916102,0.498706736,0.507762341,0.497255816,0.496262433,0.490503101
10.842,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,286.0376,578.828,652.672,728.358,1532.014,1846.076,0.418221166,0.487663212,0.462049307,0.42453096,0.495703349,0.447814022
9.659,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,231.586,423.034,503.85,588.735,1110.129,1464.688,0.478880216,0.504054444,0.504459512,0.485306422,0.508000662,0.502487134
7.70825,7,8,92,156,191,228,400,532,138,238,284,336,626,815,124.5795,214.0765,256.86725,304.491,560.0645,732.43475,0.506862663,0.501880467,0.506014442,0.493855355,0.50426404,0.494399345
7.6205,7,8,92,156,191,228,400,532,138,238,284,336,626,815,120.543,206.881,248.7065,295.014,540.233,707.6015,0.507577878,0.50195973,0.507058753,0.495204868,0.503405592,0.494327377
7.06,7,8,92,156,191,228,400,532,138,238,284,336,626,815,94.76,160.92,196.58,234.48,413.56,548.98,0.501790045,0.491014812,0.504018849,0.494976276,0.484631626,0.482301642
6.58375,6,7,55,96,120,141,240,321,92,156,191,228,400,532,76.59875,131.025,161.44625,191.78625,333.4,444.17125,0.500164404,0.492984026,0.510422157,0.499217907,0.481762431,0.481179117
8.54925,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,169.8565,294.0235,350.45925,415.092,772.1005,1015.47625,0.506534711,0.505238765,0.506028558,0.493461181,0.509538625,0.502414356
11.2815,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,300.4568,630.965,693.2385,754.134,1677.265,1920.965,0.38993533,0.471849391,0.435615858,0.390158129,0.481713114,0.413613999
13.90725,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,844.435,808.145,810,2216.0875,2050,0.232077006,0.337086309,0.271073495,0.223693784,0.339742945,0.235616878
13.23625,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,804.175,794.725,810,2115.4375,2050,0.269191297,0.372352571,0.309202888,0.25946741,0.37617735,0.273297273
14.38925,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,861.6775,810,810,2257.2475,2050,0.20952769,0.310548153,0.24529692,0.201959007,0.3124295,0.212723616
13.43675,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,816.205,798.735,810,2145.5125,2050,0.25731979,0.36125612,0.297058207,0.248024732,0.364699919,0.26124469
9.47975,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,221.9065,400.4485,476.9625,559.15875,1050.79725,1387.252,0.485389595,0.504724854,0.505143923,0.4875702,0.508645964,0.503432244
8.76525,8,9,138,238,284,336,626,815,196,340,405,480,892,1180,182.3845,316.0555,376.59525,446.196,829.5565,1094.31625,0.504668382,0.503928711,0.504549136,0.492181666,0.507972705,0.50237295
9.49325,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,222.6355,402.1495,478.9875,561.38625,1055.26575,1393.084,0.484909568,0.504709468,0.505127458,0.487427131,0.508632863,0.503394969
11.144,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,296.7168,615.84,682.376,749.184,1634.64,1905.84,0.399512083,0.477796821,0.444858593,0.402122029,0.487064122,0.425735091
11.784,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,314.1248,686.24,732.936,772.224,1833.04,1976.24,0.357713323,0.450294352,0.404119124,0.350556299,0.461935212,0.373368611
12.63225,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,329.48375,760.58,775.29,798.9675,2013.805,2031.6125,0.304581104,0.405136561,0.347011284,0.294428373,0.411967169,0.311583937
11.913,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,317.6336,700.43,743.127,776.868,1873.03,1990.43,0.350085484,0.444836061,0.396571195,0.341331594,0.456844748,0.363965152
12.54275,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,328.14125,753.42,771.71,796.2825,1997.695,2027.1375,0.309880053,0.409975136,0.352855898,0.299765435,0.41748244,0.317600539
11.33625,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,301.946,636.9875,697.56375,756.105,1694.2375,1926.9875,0.38621766,0.469484586,0.432013392,0.385537429,0.479571508,0.408928118
11.1775,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,297.628,619.525,685.0225,750.39,1645.025,1909.525,0.397146594,0.476347043,0.442580578,0.399158777,0.485764524,0.422734443
10.713,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,280.5164,561.542,637.708,715.587,1484.671,1810.214,0.42514398,0.490396771,0.467961475,0.432336407,0.497948283,0.455169261
