,day,load,wind_speed
212,212,2700,5.000791667
213,213,2100,5.994525
214,214,2400,6.401441667
215,215,2450,6.48925
216,216,2600,8.720866667000001
217,217,2700,8.003408333
218,218,2500,7.879191667000001
219,219,2000,7.894183332999999
220,220,3000,8.204725
221,221,3200,11.070275
222,222,3400,10.01015
223,223,3600,8.864358333
224,224,3700,9.513283333
225,225,4100,11.50075
226,226,3400,10.62480833
227,227,3600,10.39779167
228,228,3200,10.157925
229,229,2800,10.023
230,230,2600,10.19433333
231,231,3000,9.042116667
232,232,3500,8.037675
233,233,3700,4.799475
234,234,4000,4.3604333330000005
235,235,3900,4.276908333
236,236,3300,4.30475
237,237,3500,3.606566667
238,238,3700,3.047591667
239,239,3200,5.390575
240,240,3800,6.114458332999999
241,241,4000,7.56865
242,242,4100,7.587925
243,243,4300,6.919725
244,244,4500,4.0820166669999995
245,245,4200,4.0349
246,246,4500,3.054016667
247,247,4400,2.439358333
248,248,4300,4.0092
249,249,4600,7.525816667000001
250,250,4500,8.98215
251,251,4500,9.723166667000001
252,252,4450,2.186641667
253,253,4350,0.428333333
254,254,4300,1.601966667
255,255,4500,3.1653833330000003
256,256,4400,1.434916667
257,257,4500,2.06885
258,258,4600,5.7054
259,259,4500,5.673275
260,260,4500,3.101133333
261,261,4700,0.890933333
262,262,5600,3.069008333
263,263,5200,0.44975
264,264,5500,0.3341
265,265,4800,0.094233333
266,266,4850,0.291266667
267,267,4700,0.0
268,268,4600,0.2313
269,269,4550,2.644958333
270,270,4300,2.651383333
271,271,4350,1.7904333330000002
272,272,4250,2.1031166669999997
273,273,4200,0.0021416670000000003
274,274,4300,0.434758333
275,275,4400,0.049258333
276,276,4200,0.019275
277,277,4100,0.0257
278,278,4500,0.683191667
279,279,3500,0.006425
280,280,3700,0.017133333
281,281,4000,0.006425
282,282,5500,0.194891667
283,283,6000,0.019275
284,284,6500,0.021416667
285,285,6200,1.27215
286,286,6100,0.0514
287,287,6200,0.0
288,288,6500,0.573966667
289,289,6300,0.023558332999999997
290,290,6100,0.0021416670000000003
291,291,5500,0.52685
292,292,5800,0.08995
293,293,6000,0.0
294,294,6100,0.079241667
295,295,6200,0.201316667
296,296,6000,0.21630833300000002
297,297,5900,0.01285
298,298,5800,0.03855
299,299,5200,1.235741667
300,300,4800,0.34909166700000005
301,301,4700,3.1868
302,302,4500,3.45665
303,303,4100,5.103591667
304,304,4000,10.3057
305,305,3800,10.75330833
306,306,4200,6.022366667000001
307,307,4100,0.113508333
308,308,4000,0.006425
309,309,4200,0.01285
310,310,4100,0.661775
311,311,4000,0.738875
312,312,3800,1.4049333330000002
313,313,3900,0.008566667
314,314,4000,0.194891667
315,315,4300,1.7219
316,316,4400,1.165066667
317,317,4500,0.259141667
318,318,4500,0.252716667
319,319,4600,0.008566667
320,320,4700,0.019275
321,321,4800,0.008566667
322,322,4100,0.0021416670000000003
323,323,4600,0.0021416670000000003
324,324,4500,0.73245
325,325,4200,0.222733333
326,326,4000,0.070675
327,327,4300,0.008566667
328,328,4250,0.032125
329,329,4100,0.019275
330,330,4050,0.0771
331,331,4000,0.5161416670000001
332,332,3950,0.636075
333,333,3800,2.1031166669999997
334,334,3700,0.044975
335,335,3600,0.014991667
336,336,3500,6.018083333
337,337,3400,7.562225
338,338,3000,5.4250363639999994
339,339,3200,6.367175
340,340,3100,6.885458333
341,341,3450,7.474416667000001
342,342,3300,4.193383333
343,343,3400,2.525025
344,344,3300,4.09915
345,345,3450,3.311016667
346,346,3100,4.219083333
347,347,3600,4.448241667
348,348,3700,4.617433333
349,349,3600,5.690408333
350,350,3500,5.403425
351,351,3400,6.382166667000001
352,352,3450,4.251208333
353,353,3200,3.32815
354,354,3100,3.9064
355,355,3000,6.69485
356,356,2900,7.6436083329999995
357,357,3000,7.429441667000001
358,358,3100,4.5467583330000005
359,359,3000,5.394858332999999
360,360,2900,5.2685
361,361,2800,6.287933333
362,362,2600,3.540175
363,363,2800,4.255491667
364,364,2700,3.2125
365,365,2600,4.300466667
